field_178738_b;standLeftSide //armorstandmodel
field_178740_a;standRightSide //armorstandmodel
field_178739_c;standWaist //armorstandmodel
field_178737_d;standBase //armorstandmodel
field_178690_a;bannerSlate //bannermodel
field_178688_b;bannerStand //bannermodel
field_178689_c;bannerTop //bannermodel
field_82895_a/1;batHead/1 //batmodel
field_82895_a/0;batHead/0 //batmodel
field_82891_d;batLeftWing //batmodel
field_82894_c;batRightWing //batmodel
field_82892_e;batOuterRightWing //batmodel
field_82893_b;batBody //batmodel
field_82895_a;batHead //batmodel
field_82890_f;batOuterLeftWing //batmodel
field_193772_a;headPiece //bedmodel
field_193773_b;footPiece //bedmodel
field_193774_c[0];leg0 //bedmodel legs[0]
field_193774_c[3];leg3 //bedmodel legs[3]
field_193774_c[1];leg1 //bedmodel legs[1]
field_193774_c[2];leg2 //bedmodel legs[2]
field_217101_b;bellBottom //bellmodel
field_217100_a;bellTop //bellmodel
field_178724_i;bipedLeftArm //bipedmodel
field_178720_f;bipedHeadwear //bipedmodel
field_178722_k;bipedLeftLeg //bipedmodel
field_78115_e;bipedBody //bipedmodel
field_78116_c;bipedHead //bipedmodel
field_178721_j;bipedRightLeg //bipedmodel
field_178723_h;bipedRightArm //bipedmodel
field_78106_a[7];blazeSticks[7] //blazemodel
field_78106_a[6];blazeSticks[6] //blazemodel
field_78106_a[9];blazeSticks[9] //blazemodel
field_78106_a[8];blazeSticks[8] //blazemodel
field_78106_a[3];blazeSticks[3] //blazemodel
field_78106_a[10];blazeSticks[10] //blazemodel
field_78106_a[2];blazeSticks[2] //blazemodel
field_78106_a[11];blazeSticks[11] //blazemodel
field_78106_a[5];blazeSticks[5] //blazemodel
field_78106_a[4];blazeSticks[4] //blazemodel
field_78106_a[1];blazeSticks[1] //blazemodel
field_78105_b;blazeHead //blazemodel
field_78106_a[0];blazeSticks[0] //blazemodel
field_78103_a[1];boatSide1 //boatmodel
field_78103_a[0];boatSides0 //boatmodel
field_78103_a[3];boatSides3 //boatmodel
field_78103_a[2];boatSides2 //boatmodel
field_187058_c;noWater //boatmodel
field_78103_a[4];boatSides4 //boatmodel
field_187057_b[1];paddle0 //boatmodel paddles[1]
field_187057_b[0];paddle1 //boatmodel paddles[0]
field_78096_f;flippingPageLeft //bookmodel
field_78099_e;flippingPageRight //bookmodel
field_78098_d;pagesLeft //bookmodel
field_78097_g;bookSpine //bookmodel
field_78102_a;coverRight //bookmodel
field_78101_c;pagesRight //bookmodel
field_78100_b;coverLeft //bookmodel
field_205075_a;conduitCage //cagemodel
field_78161_a;ocelotBackLeftLeg //catmodel
field_78155_f;ocelotTail2 //catmodel
field_78158_e;ocelotTail //catmodel
field_78160_c;ocelotFrontLeftLeg //catmodel
field_78157_d;ocelotFrontRightLeg //catmodel
field_78159_b;ocelotBackRightLeg //catmodel
field_78162_h;ocelotBody //catmodel
field_78141_c;chin //chickenmodel
field_78143_h;field_78143_h //chickenmodel
field_78140_b;bill //chickenmodel
field_78137_g;field_78137_g //chickenmodel
field_203726_d;headFront //codmodel
field_78131_d;leg1 //creepermodel
field_78130_g;leg4 //creepermodel
field_78129_f;leg3 //creepermodel
field_78132_e;leg2 //creepermodel
field_78134_c;body //creepermodel
field_78135_a;head //creepermodel
field_78133_b;creeperArmor //creepermodel
field_205081_a/0;head/0 //dolphinmodel
field_205082_b/0;body/0 //dolphinmodel
field_205082_b;body //dolphinmodel
field_205082_b/2;body/2 //dolphinmodel
field_205082_b/1;body/1 //dolphinmodel
